"gid","plraum","statbez_name","the_geom","uuid","geojson"
INTEGER,INTEGER,TEXT,TEXT,TEXT,TEXT
12,6,Beutenberg / Winzerlaer Straße,"POLYGON ((680961.7573203293 5642131.908195848, 680961.6318505153 5642131.1314338045, 680959.6440006122 5642118.824996914, 680965.1300006123 5642117.520996915, 680974.1480006126 5642113.609996913, 680973.7880006125 5642113.605996913, 680971.4940006128 5642112.671996913, 680968.8950006124 5642110.393996914, 680966.7670006123 5642106.854996914, 680959.5910006124 5642075.587996914, 680949.0240006121 5642056.453996914, 680945.8480006121 5642051.211996917, 680944.4990006125 5642045.309996919, 680941.2490006124 5642046.853996918, 680924.0290006117 5642012.820996918, 680916.8170006117 5641999.833996919, 680913.4995259129 5641992.530367741, 680908.7550006115 5641982.08499692, 680907.6090006117 5641980.26499692, 680901.6500006116 5641968.131996921, 680893.0800006113 5641952.928996922, 680893.6030006113 5641947.252996922, 680893.3700006113 5641946.3269969225, 680887.9000006112 5641940.078996923, 680881.7650006112 5641934.5949969245, 680874.449000611 5641929.260996924, 680872.0592560332 5641927.976583831, 680870.711000611 5641927.195996924, 680867.4380006108 5641925.421996924, 680861.5180006108 5641922.588996925, 680853.2360006107 5641919.560996925, 680848.3860006107 5641918.452996927, 680841.3920006105 5641917.36699693, 680830.6030006104 5641919.336996929, 680824.4109556756 5641920.547951778, 680816.4390006101 5641922.106996929, 680810.67100061 5641923.90399693, 680806.5420006099 5641920.603996931, 680793.5640006099 5641925.970996931, 680785.1310006097 5641931.282996933, 680783.7110006097 5641937.900996936, 680778.8590006096 5641938.353996933, 680772.4380006094 5641946.893996933, 680747.387000609 5641966.973996936, 680744.453000609 5641967.804996937, 680741.003000609 5641966.426996938, 680739.462000609 5641965.535996937, 680748.662000609 5641986.906996937, 680750.452000609 5641995.045996936, 680751.7780006093 5642002.065996938, 680752.7700006091 5642008.700996936, 680753.1420006091 5642018.243996936, 680753.2160006091 5642020.128996936, 680752.8850006091 5642028.011996936, 680752.379000609 5642033.325996935, 680751.4830006091 5642039.353996936, 680743.099000609 5642087.792996939, 680741.6070006088 5642096.418996936, 680735.5730006088 5642128.880996937, 680734.6530006088 5642149.289996937, 680732.0930006087 5642170.672996938, 680731.8840006087 5642185.4069969375, 680733.7690006087 5642202.296996937, 680736.4590006088 5642218.108996937, 680723.6750006087 5642221.902996938, 680721.3570006086 5642216.373996938, 680716.3240006085 5642184.853996938, 680719.665287029 5642151.402462569, 680719.9530006086 5642148.521996939, 680726.7450006087 5642111.197996938, 680736.3040006087 5642056.761996939, 680740.5210006093 5642040.52599694, 680741.468000609 5642033.511996937, 680742.0480006093 5642028.925996937, 680742.4060006089 5642024.437996936, 680742.609000609 5642019.399996937, 680742.410000609 5642013.282996937, 680741.501000609 5642004.298996939, 680740.2580006089 5641997.335996937, 680739.0310006088 5641992.878996937, 680736.6450006089 5641986.131996937, 680733.8410006088 5641979.88399694, 680730.070000609 5641972.547996938, 680724.7610006088 5641964.857996938, 680712.3930006085 5641949.13499694, 680707.2270006088 5641942.05199694, 680702.7440006086 5641934.455996942, 680695.7330006084 5641910.949996943, 680695.5940006083 5641910.008996944, 680695.4460006083 5641906.624996942, 680695.5130006082 5641903.816996941, 680695.6780006082 5641900.503996942, 680695.9520006083 5641897.935996942, 680695.9845006083 5641897.470496942, 680696.0170006083 5641897.004996941, 680696.0188982072 5641896.86496401, 680696.0005062832 5641896.7260808125, 680695.9068859516 5641896.462720242, 680695.7441636783 5641896.235464833, 680695.5250006083 5641896.061996942, 680691.8460006082 5641893.111996942, 680674.9480006079 5641885.809996947, 680660.6250006077 5641918.113996944, 680624.4710006071 5641901.96299695, 680630.0410006072 5641889.363996949, 680637.5520006074 5641872.373996948, 680643.1890006074 5641859.6219969485, 680648.1730006079 5641848.351996948, 680654.1860006077 5641834.754996947, 680656.3390006077 5641829.879996946, 680638.2990006073 5641816.253996948, 680635.1070006073 5641813.842996949, 680628.5230006073 5641808.988996951, 680624.0590006071 5641805.69799695, 680619.2594364256 5641802.159561046, 680614.693000607 5641798.792996952, 680601.0870006069 5641788.760996952, 680594.9040006066 5641789.039996953, 680579.7490006067 5641808.865996955, 680576.3820006065 5641813.270996953, 680570.8320006063 5641820.531996955, 680565.0260006066 5641828.126996956, 680561.6580006061 5641832.532996956, 680558.2890006062 5641836.939996957, 680555.301000606 5641840.849996959, 680555.0010006061 5641841.240996958, 680551.9310006059 5641845.288996956, 680545.386000606 5641853.917996961, 680541.9870006058 5641858.397996956, 680538.5880006058 5641862.878996958, 680531.776000606 5641871.858996959, 680526.5440006057 5641878.755996959, 680526.7230006056 5641881.371996959, 680526.8890006056 5641883.8139969595, 680525.3200006059 5641886.756996959, 680521.5660006055 5641893.80399696, 680518.8530006055 5641892.35699696, 680516.8470006058 5641890.579996961, 680509.9860006054 5641880.990996962, 680508.3880006053 5641882.192996961, 680507.8740006057 5641882.579996962, 680503.6890006053 5641880.147996962, 680486.2510006049 5641877.286996963, 680454.5680006044 5641892.909996966, 680431.8440006042 5641907.448996969, 680412.2480006039 5641912.86299697, 680405.5850006037 5641904.605996972, 680403.4710006039 5641901.984996972, 680378.3030006033 5641857.605996973, 680358.1900006032 5641842.162996976, 680343.7900006028 5641831.106996978, 680332.4170006027 5641822.373996979, 680308.1640006022 5641797.560996981, 680304.5460006023 5641794.186996982, 680292.0630006021 5641787.852996983, 680276.3060006017 5641778.128996985, 680265.1570006015 5641771.249996986, 680226.4670006013 5641757.48699699, 680195.7900006006 5641740.786996993, 680171.7590006001 5641722.470996995, 680151.1390005997 5641707.182996998, 680139.9300005997 5641698.803996999, 680132.5150005997 5641693.117996999, 680138.0250005997 5641693.415996998, 680151.8500005999 5641680.709996997, 680167.0260006007 5641684.672996995, 680156.9510006 5641675.986996997, 680120.7710005997 5641644.741997004, 680063.6320005986 5641592.617997005, 680060.3450005983 5641594.749997007, 680006.1230005976 5641543.372997013, 679942.7090005968 5641475.953997019, 679910.6120005961 5641452.749997023, 679900.433000596 5641453.818997023, 679858.2960005953 5641458.240997028, 679838.6360005952 5641460.30499703, 679821.9460005948 5641462.055997032, 679765.849000594 5641467.9429970365, 679714.2350005931 5641473.3609970445, 679624.2260005919 5641482.807997052, 679529.0850005903 5641437.90599706, 679507.9750005901 5641427.942997063, 679507.6410005902 5641509.800997062, 679507.51500059 5641540.621997062, 679503.4990005903 5641617.454997062, 679504.92800059 5641655.800997061, 679505.86300059 5641680.857997061, 679524.4480005903 5641761.101997058, 679555.869000591 5641814.481997056, 679584.706000591 5641876.132997052, 679596.6980005912 5641901.769997054, 679619.2940005917 5641923.244997049, 679590.2160005912 5641946.992997052, 679616.9110005916 5641999.812997049, 679667.4160005924 5642012.469997043, 679707.4130005931 5642022.675997039, 679733.1630005934 5642028.841997038, 679761.7310005939 5642036.242997034, 679800.5110005945 5642020.993997031, 679832.1780005947 5642014.2079970315, 679874.3120005956 5642009.775997028, 679917.8990005961 5642005.302997019, 679954.4800005967 5641991.5199970165, 680019.9540005978 5641994.75099701, 680118.7810005993 5642007.996997, 680157.7510005999 5642023.138996996, 680180.0850006002 5642030.389996992, 680210.1410006008 5642040.598996991, 680244.4870006011 5642039.539996987, 680278.9660006018 5642037.942996984, 680297.217786155 5642032.102076372, 680298.8390948311 5642049.086524733, 680297.5200979173 5642088.484085803, 680262.373599043 5642097.377470055, 680260.9360217432 5642106.651559105, 680260.2134459184 5642119.206966163, 680258.0094373578 5642173.415755428, 680259.3589524718 5642199.347205123, 680259.6799695473 5642243.619109536, 680231.0812108679 5642247.971013789, 680214.0261737714 5642250.105625982, 680212.4502213978 5642267.999610932, 680210.0429560216 5642330.6842459645, 680207.9231585496 5642377.1388995545, 680228.1379682284 5642376.163028948, 680262.9122797751 5642385.567069596, 680278.7145180984 5642390.874161269, 680247.4634013115 5642452.558193974, 680228.637760413 5642488.147945392, 680205.2302937016 5642535.191835422, 680218.1900006009 5642540.328996988, 680235.2280006009 5642547.083996986, 680258.6610006012 5642557.184996986, 680292.9360006019 5642568.83199698, 680316.1970006023 5642581.617996978, 680318.4850006023 5642576.119996977, 680320.8501151453 5642577.044586853, 680310.1181563535 5642604.726960113, 680283.621901976 5642662.660148547, 680271.0720373446 5642688.5896468945, 680257.0528371424 5642717.945911408, 680240.8954253731 5642706.971129394, 680226.3659564899 5642732.626890349, 680218.0978911229 5642747.49038128, 680182.4627930972 5642810.28879031, 680169.7823208497 5642833.14747498, 680155.9353256627 5642856.67422974, 680165.0190005999 5642861.240996991, 680174.3000006 5642865.90799699, 680183.5850006 5642871.15299699, 680191.5350006003 5642877.872996989, 680197.6980006002 5642882.556996988, 680204.5670006004 5642888.446996988, 680211.3360006006 5642894.249996986, 680229.6530006009 5642905.243996984, 680253.7310006012 5642926.156996982, 680256.6570006013 5642928.697996981, 680260.4690006013 5642935.213996982, 680267.0690006014 5642946.489996982, 680269.2080006014 5642952.34099698, 680276.2720006015 5642970.737996981, 680290.5840006018 5643008.012996979, 680295.1690006017 5643018.928996978, 680302.5830006019 5643036.577996977, 680311.180000602 5643057.039996977, 680328.4290006023 5643083.238996973, 680330.4220006024 5643086.867996975, 680341.3820006024 5643118.718996976, 680352.3280006027 5643131.807996972, 680360.3760006028 5643139.12299697, 680414.4020006036 5643188.234996967, 680427.1490006037 5643199.820996964, 680436.2390006039 5643211.573996963, 680443.5320006041 5643225.247996962, 680444.1090006041 5643226.957996965, 680446.936000604 5643235.333996961, 680473.0670006045 5643247.4729969585, 680485.3588845418 5643253.120329503, 680493.7010006048 5643256.952996957, 680519.0870006052 5643276.819996955, 680522.8840006052 5643279.792996957, 680526.2280006052 5643282.410996954, 680531.3260006054 5643282.582996957, 680542.4260006056 5643282.955996953, 680577.3340006061 5643250.904996948, 680581.0830006062 5643251.535996948, 680581.8210006063 5643251.735996951, 680588.5120006063 5643253.740996948, 680594.1270006063 5643256.158996948, 680604.1960006064 5643260.537996946, 680623.9620006068 5643267.855996944, 680660.3020006074 5643284.099996944, 680667.6710006074 5643287.463996938, 680677.2340006077 5643292.879996939, 680682.2510006077 5643295.720996939, 680692.442000608 5643302.576996939, 680710.4540006081 5643311.623996934, 680711.4360006081 5643311.893996935, 680735.8700006085 5643318.595996932, 680742.4310006087 5643320.269996933, 680744.2721145444 5643320.73940442, 680744.3333102122 5643320.75500677, 680745.5570006088 5643321.066996931, 680758.9720006092 5643324.632996931, 680767.078000609 5643326.71799693, 680768.687000609 5643327.131996929, 680774.1220006091 5643327.853996929, 680780.6560006093 5643330.302996928, 680791.9730006094 5643334.235996929, 680795.9550006094 5643335.619996926, 680801.2640006095 5643337.464996926, 680802.2360006096 5643337.808996927, 680812.5600006098 5643341.462996925, 680809.4970006096 5643345.9079969255, 680805.2040006096 5643351.835996926, 680800.7550006094 5643357.843996928, 680793.5560006094 5643366.644996928, 680805.3390006096 5643374.076996928, 680835.6860006101 5643393.215996923, 680837.37700061 5643394.282996922, 680843.8410006103 5643382.930996922, 680862.2010006105 5643384.005996919, 680868.3770006106 5643384.367996919, 680875.4960006108 5643384.890996918, 680904.1990006112 5643385.543996914, 680926.3390006116 5643375.382996913, 680931.8060006115 5643372.920996912, 680940.6170006117 5643368.952996912, 680945.0290006117 5643362.857996913, 680945.053110515 5643362.823422651, 680953.1460006123 5643351.21799691, 680973.0710006122 5643356.023996908, 680977.7070006124 5643357.141996907, 680979.4580006123 5643357.466996908, 681005.8540006127 5643355.333996904, 681005.9340006127 5643355.834996904, 681006.7140006127 5643360.680996904, 681006.9700006128 5643361.934996907, 681009.2950006127 5643375.667996907, 681009.8770006128 5643380.323996905, 681010.1020006131 5643400.929996904, 681011.1630006129 5643405.629996904, 681013.4880006128 5643415.925996904, 681014.6580006129 5643418.6889969045, 681020.1910006129 5643431.746996905, 681021.500000613 5643434.615996903, 681027.5250006131 5643447.819996902, 681030.0750006133 5643452.194996901, 681035.2490006135 5643461.572996901, 681035.4260006131 5643461.800996902, 681042.1190006135 5643470.428996901, 681047.8720006132 5643479.3399968995, 681049.1220006132 5643483.5169969, 681054.4420006134 5643501.2899969, 681059.0590006134 5643509.269996899, 681067.8650006136 5643524.494996898, 681069.3210006136 5643526.799996898, 681074.3650006137 5643532.862996897, 681080.1020006142 5643539.749996896, 681082.6990006139 5643542.866996899, 681088.241000614 5643547.701996897, 681108.9650006143 5643567.271996894, 681110.5180006142 5643568.738996893, 681125.0390006145 5643582.449996892, 681129.1970006146 5643586.060996891, 681142.8260006148 5643597.896996889, 681145.2320006147 5643600.144996892, 681151.8750006149 5643605.29099689, 681159.7230006149 5643611.799996888, 681169.1550006153 5643619.364996888, 681177.8540006154 5643626.166996887, 681178.5030006153 5643626.6749968855, 681200.8690006159 5643644.536996884, 681217.0170006161 5643657.905996882, 681229.6020006165 5643668.23499688, 681241.6150006163 5643667.8839968825, 681253.7290006166 5643695.3649968775, 681263.7100006167 5643718.004996877, 681276.2700006168 5643713.722996876, 681279.0550006169 5643712.773996875, 681286.4330006171 5643731.448996874, 681296.1750006173 5643759.407996873, 681304.7480006174 5643791.001996873, 681324.1370006176 5643858.85499687, 681336.1520006177 5643897.407996869, 681338.4500006182 5643896.42299687, 681341.7760006182 5643894.995996868, 681345.9020006179 5643893.226996869, 681352.329000618 5643890.737996867, 681357.720000618 5643888.649996867, 681362.6020006186 5643886.7589968685, 681379.4970006184 5643880.215996864, 681377.2780006183 5643872.127996866, 681374.6070006182 5643852.742996866, 681374.7130006184 5643845.115996866, 681378.1650006184 5643832.748996865, 681392.9140006186 5643795.190996868, 681404.6900006189 5643775.107996862, 681420.5960006191 5643748.985996864, 681426.9490006192 5643746.2609968595, 681431.6440006192 5643742.24899686, 681436.3520006198 5643735.467996859, 681441.0720006195 5643724.836996859, 681444.9670006199 5643712.418996858, 681444.1810006194 5643684.036996859, 681439.3380006194 5643648.702996859, 681425.7140006191 5643612.36199686, 681404.7300006188 5643578.141996862, 681372.0950006184 5643543.254996866, 681351.9840006181 5643522.182996869, 681336.5510006179 5643506.01199687, 681313.7250006174 5643487.029996874, 681289.5890006172 5643470.513996876, 681261.3260006168 5643451.555996879, 681238.6960006163 5643436.034996881, 681208.620000616 5643418.134996883, 681194.3790006156 5643407.496996886, 681190.5450006156 5643404.632996886, 681162.6920006152 5643413.403996888, 681155.5210006153 5643415.598996889, 681149.251000615 5643417.5179968905, 681140.7270006152 5643420.126996891, 681115.5910006145 5643422.253996893, 681112.7990006144 5643421.032996893, 681097.0210006146 5643418.306996895, 681089.622000614 5643418.155996897, 681082.8880006139 5643417.7249969, 681079.7160006139 5643417.842996898, 681085.5570006139 5643402.636996897, 681079.3580006139 5643383.205996898, 681071.7660006139 5643363.138996898, 681063.7200006136 5643334.256996899, 681055.0330006136 5643290.0969969, 681052.7230006135 5643275.910996901, 681050.0490006134 5643249.947996901, 681050.1160006134 5643242.6639968995, 681049.7850006134 5643233.266996901, 681049.6020006139 5643208.360996903, 681049.5710006134 5643204.053996901, 681036.6470006133 5643181.327996902, 681017.3210006129 5643150.273996905, 681008.4520006129 5643127.617996906, 681004.0650006129 5643094.367996907, 681002.5010006129 5643074.944996906, 681002.1500006127 5643069.801996906, 681001.8400006127 5643061.906996907, 681001.2470006127 5643057.684996909, 680994.0090006125 5643028.657996907, 680986.9817141197 5643013.000889369, 680986.4710006125 5643011.862996908, 680979.5440006123 5642995.33099691, 680978.3120006124 5642992.016996908, 680969.4040006122 5642979.26499691, 680963.6790006121 5642971.068996912, 680949.620000612 5642948.586996913, 680947.4760006119 5642946.546996912, 680948.0190006119 5642943.7999969125, 680953.002000612 5642929.291996911, 680953.337000612 5642922.578996912, 680953.7670006119 5642913.973996913, 680953.8150006122 5642913.008996915, 680955.0440006121 5642888.427996911, 680958.224000612 5642886.874996912, 680975.0920006126 5642878.63699691, 680989.950000613 5642882.040996907, 680996.5810006128 5642855.386996907, 680996.7930006129 5642853.037996907, 680995.6930006127 5642850.699996907, 680996.0250006127 5642848.757996908, 680997.5520006127 5642847.464996908, 681037.5290006134 5642803.231996904, 681072.3924120255 5642764.655648172, 681072.392412874 5642764.655647235, 681069.9380006138 5642764.323996901, 681005.1520006128 5642755.5929969065, 680986.9940006129 5642752.026996909, 680976.1120006123 5642749.8899969105, 680972.0580006123 5642749.84699691, 680972.5490006122 5642742.55099691, 680972.9200006125 5642737.028996911, 680974.7220006129 5642718.631996911, 680976.6210006125 5642699.244996911, 680977.3650006125 5642691.93899691, 680979.4270006125 5642671.52199691, 680980.423000613 5642661.657996911, 680981.5380006125 5642650.619996909, 680982.2810006125 5642643.257996909, 680984.6110006126 5642620.187996909, 680984.7096098049 5642619.212570878, 680984.7420820636 5642618.891360599, 680985.1010006126 5642615.34099691, 680986.1060006127 5642601.57199691, 680986.2210006126 5642600.46299691, 680987.3850006126 5642589.301996909, 680988.6890006127 5642576.790996909, 680989.7590006127 5642566.52299691, 680991.1240006131 5642553.428996909, 680991.8620006127 5642546.349996913, 680991.9360006127 5642545.640996908, 680993.0150006127 5642535.291996909, 680994.1400006127 5642524.49799691, 680995.2740006128 5642513.61199691, 680996.4130006128 5642502.691996909, 680997.5660006128 5642491.61899691, 680997.7730006127 5642489.408996908, 680998.6080006129 5642480.496996909, 680999.199000613 5642474.191996908, 680999.6290006128 5642469.589996908, 681002.5360006129 5642438.54599691, 681004.8650006129 5642413.663996908, 681004.5910006129 5642406.902996909, 681004.5024090766 5642404.717657881, 681004.2270006132 5642397.923996911, 681004.1510006133 5642396.044996909, 680984.5807399342 5642268.063102466, 680977.5290006124 5642229.597996912, 680975.0570971863 5642214.28611113, 680965.8760006124 5642157.414996913, 680965.0510006123 5642152.303996914, 680964.7570006124 5642150.489996915, 680964.2310006125 5642147.2319969125, 680963.5690006125 5642143.1239969125, 680961.7573203293 5642131.908195848))","9bf45940-98e0-4201-bdab-45ea6815740b","{""type"":""Polygon"",""bbox"":[11.552703,50.896576,11.581329,50.918190],""coordinates"":[[[11.573703,50.902447],[11.573667,50.90233],[11.57387,50.902279],[11.57264,50.900801],[11.572056,50.900573],[11.571393,50.900597],[11.570463,50.901022],[11.570684,50.901579],[11.570488,50.902491],[11.570545,50.903292],[11.570365,50.90333],[11.570243,50.902999],[11.570531,50.901591],[11.57047,50.901268],[11.569926,50.900754],[11.56975,50.900386],[11.569507,50.900326],[11.569319,50.900621],[11.568798,50.900487],[11.569215,50.899829],[11.568409,50.899477],[11.567332,50.900446],[11.567161,50.900334],[11.566822,50.900308],[11.565788,50.900651],[11.565279,50.900165],[11.564199,50.899619],[11.562628,50.899173],[11.561706,50.898764],[11.561974,50.898647],[11.562192,50.898678],[11.558435,50.896674],[11.554381,50.897033],[11.552703,50.896576],[11.552797,50.898849],[11.553101,50.899564],[11.554196,50.900806],[11.554528,50.900991],[11.554127,50.901214],[11.554532,50.90168],[11.556607,50.901962],[11.557151,50.901813],[11.558811,50.901636],[11.559324,50.9015],[11.561666,50.901597],[11.56298,50.901862],[11.564213,50.901758],[11.564245,50.902265],[11.56375,50.902355],[11.563784,50.90367],[11.563138,50.903743],[11.563125,50.903904],[11.563114,50.904886],[11.564127,50.904987],[11.563154,50.906306],[11.564818,50.906646],[11.563981,50.907932],[11.563746,50.907839],[11.562613,50.90921],[11.564079,50.909826],[11.565377,50.911506],[11.566636,50.912208],[11.566935,50.912521],[11.568085,50.912919],[11.568315,50.912919],[11.568795,50.91262],[11.568956,50.912642],[11.570717,50.913124],[11.572183,50.91336],[11.571925,50.913592],[11.572562,50.913827],[11.572648,50.913723],[11.573507,50.913727],[11.574016,50.913567],[11.574185,50.913403],[11.574936,50.913424],[11.575075,50.913966],[11.575923,50.914944],[11.577039,50.915579],[11.578271,50.916165],[11.578442,50.916158],[11.578781,50.916601],[11.578996,50.916549],[11.579899,50.91819],[11.580507,50.918022],[11.580421,50.917708],[11.580655,50.917254],[11.581305,50.916607],[11.581329,50.916239],[11.581031,50.915601],[11.579711,50.914674],[11.577585,50.913809],[11.576885,50.913964],[11.576017,50.913962],[11.576092,50.913824],[11.575603,50.912822],[11.575483,50.912051],[11.57486,50.911377],[11.574606,50.910493],[11.573904,50.90977],[11.573983,50.909245],[11.574263,50.909151],[11.574476,50.909177],[11.574545,50.908876],[11.575589,50.908097],[11.574156,50.907995],[11.574455,50.904965],[11.573703,50.902447]]]}"
152,3,Remderoda,"POLYGON ((676813.8250005493 5645806.800997303, 676812.411000549 5645812.415997302, 676811.769000549 5645815.351997303, 676789.0090005485 5645910.719997304, 676782.5830005486 5645937.739997305, 676750.416000548 5646068.846997308, 676809.4490005489 5646068.321997301, 676831.5070005492 5646068.1249973, 676866.8720005497 5646068.233997296, 676884.0660005499 5646068.303997296, 676984.2510005515 5646068.521997286, 677083.3920005528 5646111.470997275, 677095.262000553 5646116.520997276, 677183.4550005542 5646154.042997269, 677281.9210005559 5646197.09999726, 677356.5430005571 5646188.567997251, 677431.345000558 5646180.014997243, 677489.6370005589 5646157.514997238, 677538.4290005595 5646138.679997233, 677607.6040005606 5646111.978997229, 677611.7640005605 5646110.894997228, 677674.5940005616 5646094.509997221, 677741.5470005625 5646077.037997216, 677874.7640005646 5646042.391997202, 677879.3590005646 5646043.443997202, 677893.3380005647 5646046.647997201, 677915.2710005655 5646051.673997202, 677983.6300005661 5646069.636997193, 678051.4300005672 5646087.303997185, 678082.7040005677 5646095.830997183, 678099.9050005679 5646095.993997181, 678123.6120005681 5646173.633997183, 678124.6630005683 5646177.07699718, 678125.9110005681 5646181.167997182, 678213.9220005695 5646186.866997173, 678214.1110005695 5646199.63799717, 678214.3160005695 5646213.48799717, 678214.5150005695 5646226.895997169, 678214.5850005694 5646240.894997171, 678211.5690005695 5646265.01599717, 678204.7580005694 5646319.4989971705, 678200.6090005693 5646352.334997169, 678205.1190005697 5646365.53699717, 678208.8450005695 5646376.4419971695, 678217.8360005696 5646402.760997169, 678224.4670005699 5646422.186997169, 678233.5170005697 5646449.114997168, 678234.1090005698 5646450.875997168, 678286.8270005705 5646441.462997163, 678342.4600005713 5646433.450997157, 678363.6510005721 5646433.5719971545, 678389.387000572 5646433.718997154, 678446.739000573 5646419.370997147, 678499.6570005737 5646379.382997144, 678531.0710005742 5646355.644997141, 678533.2660005745 5646355.838997139, 678613.7000005759 5646376.64599713, 678612.5060005755 5646378.903997132, 678600.3370005753 5646401.919997131, 678674.3740005767 5646388.961997126, 678745.1730005776 5646375.834997119, 678803.4720005787 5646329.477997113, 678858.0900005791 5646285.339997106, 678850.7170005792 5646278.565997111, 678848.302000579 5646276.346997109, 678845.1000005789 5646273.4049971085, 678833.4710005788 5646280.7699971115, 678800.6300005782 5646301.567997113, 678791.4870005782 5646281.759997115, 678793.7430005781 5646278.6639971165, 678795.7440005785 5646275.918997114, 678805.6560005783 5646254.661997112, 678809.9080005785 5646234.259997112, 678824.3880005786 5646208.683997112, 678823.4950005787 5646201.338997111, 678810.8200005788 5646190.845997114, 678788.824000578 5646186.581997115, 678777.7290005779 5646180.772997117, 678825.3670005787 5646143.359997111, 678827.0090005787 5646118.584997111, 678827.8480005787 5646105.938997112, 678828.5940005789 5646096.66999711, 678829.2070005789 5646089.067997112, 678811.6170005786 5646084.232997114, 678802.4590005783 5646082.641997115, 678781.863000578 5646077.251997116, 678769.9390005779 5646073.625997119, 678760.4860005777 5646071.461997118, 678740.6230005774 5646066.915997121, 678727.3380005772 5646060.8479971215, 678714.982000577 5646055.203997121, 678702.9480005769 5646049.705997123, 678691.0740005767 5646044.366997127, 678652.6070005761 5646027.072997129, 678642.8190005759 5646022.671997129, 678622.0740005757 5646013.345997131, 678592.7110005752 5646000.143997136, 678551.9650005745 5645981.823997139, 678510.1220005739 5645949.835997144, 678459.0420005731 5645910.782997145, 678417.776000573 5645861.225997152, 678406.4570005726 5645847.633997156, 678354.7930005719 5645784.866997162, 678316.2860005712 5645729.635997162, 678276.3870005705 5645672.407997166, 678225.2520005697 5645597.859997172, 678197.2350005694 5645549.360997177, 678164.810000569 5645503.043997176, 678138.8560005685 5645459.853997179, 678131.0310005684 5645445.77799718, 678127.9800005683 5645440.292997185, 678101.399000568 5645396.260997184, 678081.3960005679 5645393.629997185, 678061.3040005674 5645391.30999719, 677990.4820005663 5645391.004997194, 677979.3340005662 5645390.956997195, 677974.3920005661 5645390.934997199, 677964.1050005659 5645390.890997196, 677953.9550005657 5645390.847997198, 677913.7070005652 5645390.596997201, 677896.7810005649 5645390.490997204, 677894.954000565 5645390.822997203, 677847.6930005641 5645399.414997208, 677836.142000564 5645401.514997208, 677824.4430005639 5645403.641997211, 677800.2040005636 5645408.048997215, 677789.6870005635 5645409.960997213, 677787.7510005634 5645410.311997213, 677775.5220005632 5645412.535997215, 677759.6500005629 5645415.420997216, 677744.0160005629 5645418.262997218, 677698.8860005622 5645435.773997222, 677668.3610005616 5645447.508997228, 677654.8090005615 5645452.717997226, 677636.0150005611 5645450.375997228, 677569.61700056 5645442.106997234, 677563.5890005601 5645441.708997234, 677545.7870005597 5645439.587997236, 677522.4640005594 5645436.809997241, 677471.0390005587 5645430.6829972435, 677466.6860005587 5645459.878997244, 677391.1850005575 5645462.11799725, 677328.700000557 5645463.9719972545, 677309.0400005564 5645547.4449972585, 677301.4750005561 5645580.795997257, 677298.0900005561 5645595.721997257, 677295.0730005561 5645609.022997258, 677294.0480005563 5645613.53699726, 677288.167000556 5645639.46299726, 677204.8670005548 5645630.144997269, 677202.7200005547 5645629.853997266, 677195.3730005547 5645628.859997268, 677177.9700005543 5645626.503997268, 677086.1570005531 5645614.073997278, 676979.2560005516 5645599.769997289, 676853.8540005498 5645582.059997302, 676853.3140005496 5645585.963997299, 676840.1350005495 5645681.2249973025, 676821.8850005493 5645766.635997301, 676815.157000549 5645800.139997302, 676813.8250005493 5645806.800997303))","98fa2d54-636a-4ea7-ac57-511ea5e92669","{""type"":""Polygon"",""bbox"":[11.515778,50.932663,11.545853,50.942096],""coordinates"":[[[11.516553,50.936747],[11.515778,50.939121],[11.519103,50.939046],[11.523398,50.94011],[11.525514,50.93991],[11.527987,50.939245],[11.531752,50.938537],[11.534979,50.938949],[11.535391,50.939706],[11.536645,50.93973],[11.536537,50.941221],[11.537061,50.942096],[11.540069,50.941747],[11.541237,50.941149],[11.542422,50.941312],[11.542245,50.941543],[11.544291,50.941264],[11.545853,50.940416],[11.545662,50.940313],[11.545044,50.940579],[11.544904,50.940404],[11.545319,50.939672],[11.544659,50.939501],[11.545318,50.93915],[11.545346,50.938661],[11.544075,50.93849],[11.541351,50.937784],[11.539995,50.937174],[11.538451,50.936075],[11.537282,50.935089],[11.534659,50.932663],[11.531747,50.932674],[11.529589,50.932971],[11.528337,50.933308],[11.525714,50.933166],[11.525666,50.93343],[11.523706,50.933509],[11.523215,50.935098],[11.517013,50.934716],[11.516553,50.936747]]]}"
